index,project,body,methodName,relativePath,absolutePath,javaDoc,spanMethod,coverage,tokensPerMethod,tokensFirstLine,javaDocFirstSentence,perturbed_eval_1,pegasusPerturbed,pegagusPerturbedEntropy,pivotingPerturbed
564,jackson-databind,"protected JsonNode _readTreeAndClose(JsonParser p0) throws IOException{
    try (JsonParser p = p0) {
        final JavaType valueType = constructType(JsonNode.class);
        DeserializationConfig cfg = getDeserializationConfig();
        cfg.initialize(p);
        JsonToken t = p.currentToken();
        if (t == null) {
            t = p.nextToken();
            if (t == null) {
                return cfg.getNodeFactory().missingNode();
            }
        }
        final JsonNode resultNode;
        final DefaultDeserializationContext ctxt = createDeserializationContext(p, cfg);
        if (t == JsonToken.VALUE_NULL) {
            resultNode = cfg.getNodeFactory().nullNode();
        } else {
            resultNode = (JsonNode) ctxt.readRootValue(p, valueType, _findRootDeserializer(ctxt, valueType), null);
        }
        if (cfg.isEnabled(DeserializationFeature.FAIL_ON_TRAILING_TOKENS)) {
            _verifyNoTrailingTokens(p, ctxt, valueType);
        }
        return resultNode;
    }
}",_readTreeAndClose,com/fasterxml/jackson/databind/ObjectMapper.java,/src/main/java/com/fasterxml/jackson/databind/ObjectMapper.java,"/**
     * Similar to {@link #_readMapAndClose} but specialized for <code>JsonNode</code>
     * reading.
     *
     * @since 2.9
     */",4685-4726,"('_readTreeAndClose', {'INSTRUCTION': {'covered': 70, 'missed': 0}, 'BRANCH': {'covered': 8, 'missed': 2}, 'LINE': {'covered': 18, 'missed': 0}, 'COMPLEXITY': {'covered': 4, 'missed': 2}, 'METHOD': {'covered': 1, 'missed': 0}})",177.0,20.0,Similar to {@link #_readMapAndClose} but specialized for <code>JsonNode</code>  reading.,Specialized method for JsonNode similar to readMapAndClose method.,It is similar to @link #_readMapAndClose but specialized for code reading.,0.789055260848287,Similar to {@link #_readMapAndClose} but specialized for <code>JsonNode</code> playback.
565,weblogic-kubernetes-operator,"public String formatMessage(String msgId, Object... params){
    if (params == null || params.length == 0) {
        return getResourceBundle().getString(msgId);
    }
    String msg = getResourceBundle().getString(msgId);
    MessageFormat formatter = new MessageFormat(msg);
    return formatter.format(params);
}",formatMessage,oracle/kubernetes/operator/logging/LoggingFacade.java,/operator/src/main/java/oracle/kubernetes/operator/logging/LoggingFacade.java,"/**
   * Formats message based on string loaded from the resource bundle backing this logger.
   * @param msgId Message id
   * @param params Parameters to message formatting
   * @return Formatted message
   */",608-622,"('formatMessage', {'INSTRUCTION': {'covered': 24, 'missed': 0}, 'BRANCH': {'covered': 3, 'missed': 1}, 'LINE': {'covered': 5, 'missed': 0}, 'COMPLEXITY': {'covered': 2, 'missed': 1}, 'METHOD': {'covered': 1, 'missed': 0}})",66.0,14.0,Formats message based on string loaded from the resource bundle backing this logger.,Returns a formatted message based on a string loaded from the resource bundle backing.,The message is formatted based on the string in the resource bundle.,0.424212059667707,Formats the message based on the string loaded from the resource bundle supporting this recorder.
566,cucumber-reporting,"private void fillMissingSteps(){
    passedFeatures = fillMissingArray(passedFeatures);
    passedScenarios = fillMissingArray(passedScenarios);
    passedSteps = fillMissingArray(passedSteps);
    skippedSteps = fillMissingArray(skippedSteps);
    pendingSteps = fillMissingArray(pendingSteps);
    undefinedSteps = fillMissingArray(undefinedSteps);
}",fillMissingSteps,net/masterthought/cucumber/Trends.java,/src/main/java/net/masterthought/cucumber/Trends.java,"/**
     * Since pending and undefined steps were added later
     * there is need to fill missing data for those statuses.
     */",206-219,"('fillMissingSteps', {'INSTRUCTION': {'covered': 37, 'missed': 0}, 'LINE': {'covered': 7, 'missed': 0}, 'COMPLEXITY': {'covered': 1, 'missed': 0}, 'METHOD': {'covered': 1, 'missed': 0}})",49.0,19.0,Since pending and undefined steps were added later  there is need to fill missing data for those statuses.,"passedFeatures, passedScenarios, passedSteps, skippedSteps, pendingStep and undefinedStep are filled with  the function fillMissingArray. ",There is need to fill in missing data for the statuses since the pending and undefined steps were added later.,0.250017431661361,"Since the pending and undefined steps were added later, it is necessary to fill in the missing data for these statuses."
568,cdk,"private IMolecularFormula putInOrder(IMolecularFormula formula){
    IMolecularFormula new_formula = formula.getBuilder().newInstance(IMolecularFormula.class);
    for (int i = 0; i < orderElements.length; i++) {
        IElement element = builder.newInstance(IElement.class, orderElements[i]);
        if (MolecularFormulaManipulator.containsElement(formula, element)) {
            Iterator<IIsotope> isotopes = MolecularFormulaManipulator.getIsotopes(formula, element).iterator();
            while (isotopes.hasNext()) {
                IIsotope isotope = isotopes.next();
                new_formula.addIsotope(isotope, formula.getIsotopeCount(isotope));
            }
        }
    }
    return new_formula;
}",putInOrder,org/openscience/cdk/formula/MassToFormulaTool.java,/legacy/src/main/java/org/openscience/cdk/formula/MassToFormulaTool.java,"/**
     * Put in order the elements of the molecular formula.
     *
     * @param formula The IMolecularFormula to put in order
     * @return        IMolecularFormula object
     */",499-519,"('putInOrder', {'INSTRUCTION': {'covered': 58, 'missed': 0}, 'BRANCH': {'covered': 6, 'missed': 0}, 'LINE': {'covered': 10, 'missed': 0}, 'COMPLEXITY': {'covered': 4, 'missed': 0}, 'METHOD': {'covered': 1, 'missed': 0}})",128.0,10.0,Put in order the elements of the molecular formula.,Sorts the elements of the molecular formula.,Put the elements in order.,0.302762126507745,Put the elements of the molecular formula in order.
569,tablesaw,"private Selection createMultiColSelection(Table table, int ri, List<Index> indexes, int selectionSize, List<Integer> joinColumnIndexes){
    Selection multiColSelection = Selection.withRange(0, selectionSize);
    int i = 0;
    for (Integer joinColumnIndex : joinColumnIndexes) {
        Column<?> col = table.column(joinColumnIndex);
        Selection oneColSelection = selectionForColumn(col, ri, indexes.get(i));
        multiColSelection = multiColSelection.and(oneColSelection);
        i++;
    }
    return multiColSelection;
}",createMultiColSelection,tech/tablesaw/joining/DataFrameJoiner.java,/core/src/main/java/tech/tablesaw/joining/DataFrameJoiner.java,"/**
   * Create a big multicolumn selection for all join columns in the given table. Joins two tables.
   *
   * @param table the table that used to generate Selection.
   * @param ri row number of row in table.
   * @param indexes a reverse index for every join column in the table.
   * @param selectionSize max size in table .
   * @param joinColumnIndexes the column index of join key in tables
   * @return selection created
   */",435-461,"('createMultiColSelection', {'INSTRUCTION': {'covered': 38, 'missed': 0}, 'BRANCH': {'covered': 2, 'missed': 0}, 'LINE': {'covered': 9, 'missed': 0}, 'COMPLEXITY': {'covered': 2, 'missed': 0}, 'METHOD': {'covered': 1, 'missed': 0}})",98.0,14.0,Create a big multicolumn selection for all join columns in the given table.,"From a table given as input, it creates a multicolumn selection joining two tables.",A big multicolumn selection is needed for all the columns.,0.335703345899372,Create a large multi-column selection for all join columns in the given table.
570,jackson-databind,"public BeanPropertyMap withProperty(SettableBeanProperty newProp){
    String key = getPropertyName(newProp);
    for (int i = 1, end = _hashArea.length; i < end; i += 2) {
        SettableBeanProperty prop = (SettableBeanProperty) _hashArea[i];
        if ((prop != null) && prop.getName().equals(key)) {
            return new BeanPropertyMap(this, newProp, i, _findFromOrdered(prop));
        }
    }
    final int slot = _hashCode(key);
    return new BeanPropertyMap(this, newProp, key, slot);
}",withProperty,com/fasterxml/jackson/databind/deser/impl/BeanPropertyMap.java,/src/main/java/com/fasterxml/jackson/databind/deser/impl/BeanPropertyMap.java,"/**
     * Fluent copy method that creates a new instance that is a copy
     * of this instance except for one additional property that is
     * passed as the argument.
     * Note that method does not modify this instance but constructs
     * and returns a new one.
     */",307-329,"('withProperty', {'INSTRUCTION': {'covered': 50, 'missed': 0}, 'BRANCH': {'covered': 6, 'missed': 0}, 'LINE': {'covered': 7, 'missed': 0}, 'COMPLEXITY': {'covered': 4, 'missed': 0}, 'METHOD': {'covered': 1, 'missed': 0}})",110.0,27.0,Fluent copy method that creates a new instance that is a copy  of this instance except for one additional property that is  passed as the argument.,Creates a new instance representing a copy of the instance but for one additional property that is passed as a parameter to the method.,A fluent copy method creates a new instance that is a copy of this instance except for one property that is passed as the argument.,1.58590582873613,"Fluent copy method that creates a new instance that is a copy of that instance, except for an additional property that is passed as an argument."
573,dcache,"public static void putLong(byte[] bytes, int offset, long value) throws IllegalArgumentException{
    if (bytes.length - offset < 8) {
        throw new IllegalArgumentException(""not enough space to store long"");
    }
    bytes[offset] = (byte) (value >> 56);
    bytes[offset + 1] = (byte) (value >> 48);
    bytes[offset + 2] = (byte) (value >> 40);
    bytes[offset + 3] = (byte) (value >> 32);
    bytes[offset + 4] = (byte) (value >> 24);
    bytes[offset + 5] = (byte) (value >> 16);
    bytes[offset + 6] = (byte) (value >> 8);
    bytes[offset + 7] = (byte) value;
}",putLong,org/dcache/util/Bytes.java,/modules/common/src/main/java/org/dcache/util/Bytes.java,"/**
     * Puts a big-endian representation of {@code value} into <code>bytes</code> staring from
     * <code>offset</code>.
     *
     * @param bytes
     * @param offset
     * @param value
     * @throws IllegalArgumentException there is no enough room for 8 bytes.
     */",27-51,"('putLong', {'INSTRUCTION': {'covered': 88, 'missed': 0}, 'BRANCH': {'covered': 2, 'missed': 0}, 'LINE': {'covered': 11, 'missed': 0}, 'COMPLEXITY': {'covered': 2, 'missed': 0}, 'METHOD': {'covered': 1, 'missed': 0}})",168.0,28.0,Puts a big-endian representation of {@code value} into <code>bytes</code> staring from  <code>offset</code>.,Add big-endian representation of value into bytes starting from offset.,Puts a big-endian representation of @code value into code>bytes/code>.,0.658991034431953,Places a big-endian representation of {@code value} in <code>bytes</code> from the <code>offset</code>.
574,cdk,"long next(int[][] graph, int v, long[] current, long[] unique, long[] included, Suppressed suppressed){
    if (suppressed.contains(v))
        return current[v];
    long invariant = distribute(current[v]);
    int nUnique = 0;
    for (int w : graph[v]) {
        if (suppressed.contains(w))
            continue;
        long adjInv = current[w];
        int i = 0;
        while (i < nUnique && unique[i] != adjInv) {
            ++i;
        }
        included[i] = (i == nUnique) ? unique[nUnique++] = adjInv : rotate(included[i]);
        invariant ^= included[i];
    }
    return invariant;
}",next,org/openscience/cdk/hash/SuppressedAtomHashGenerator.java,/tool/hash/src/main/java/org/openscience/cdk/hash/SuppressedAtomHashGenerator.java,"/**
     * Determine the next value of the atom at index <i>v</i>. The value is
     * calculated by combining the current values of adjacent atoms. When a
     * duplicate value is found it can not be directly included and is
     * <i>rotated</i> the number of times it has previously been seen.
     *
     * @param graph      adjacency list representation of connected atoms
     * @param v          the atom to calculate the next value for
     * @param current    the current values
     * @param unique     buffer for working out which adjacent values are unique
     * @param included   buffer for storing the rotated <i>unique</i> value, this
     *                   value is <i>rotated</i> each time the same value is
     *                   found.
     * @param suppressed bit set indicates which atoms are 'suppressed'
     * @return the next value for <i>v</i>
     */",174-218,"('next', {'INSTRUCTION': {'covered': 82, 'missed': 0}, 'BRANCH': {'covered': 12, 'missed': 0}, 'LINE': {'covered': 12, 'missed': 0}, 'COMPLEXITY': {'covered': 7, 'missed': 0}, 'METHOD': {'covered': 1, 'missed': 0}})",155.0,17.0,Determine the next value of the atom at index <i>v</i>.,Computes and returns the subsequent value of the atom at index v.,The next value of the atom is determined by the index.,0.42398567281191,Determine the next value of the atom at index <i>v</i>.
575,glowstone,"public void sendItemChange(int slot, ItemStack item){
    if (invMonitor != null) {
        session.send(new SetWindowSlotMessage(invMonitor.getId(), slot, item));
    }
}",sendItemChange,net/glowstone/entity/GlowPlayer.java,/src/main/java/net/glowstone/entity/GlowPlayer.java,"/**
     * Sends a {@link SetWindowSlotMessage} to update the contents of an inventory slot.
     *
     * @param slot the slot ID
     * @param item the new contents
     */",3121-3131,"('sendItemChange', {'INSTRUCTION': {'covered': 15, 'missed': 0}, 'BRANCH': {'covered': 1, 'missed': 1}, 'LINE': {'covered': 3, 'missed': 0}, 'COMPLEXITY': {'covered': 1, 'missed': 1}, 'METHOD': {'covered': 1, 'missed': 0}})",39.0,16.0,Sends a {@link SetWindowSlotMessage} to update the contents of an inventory slot.,Delivers a setWindowSlotMessage message to update the contents of an invetory set.,The contents of an inventory slot are updated by sending a @link SetWindowSlotMessage.,1.11979614170087,Sends a {@link SetWindowSlotMessage} to update the contents of an inventory location.
576,tablesaw,"public Row row(int rowIndex){
    Row row = new Row(Table.this);
    row.at(rowIndex);
    return row;
}",row,tech/tablesaw/api/Table.java,/core/src/main/java/tech/tablesaw/api/Table.java,/** Returns a new Row object with its position set to the given zero-based row index. */,712-717,"('row', {'INSTRUCTION': {'covered': 10, 'missed': 0}, 'LINE': {'covered': 3, 'missed': 0}, 'COMPLEXITY': {'covered': 1, 'missed': 0}, 'METHOD': {'covered': 1, 'missed': 0}})",30.0,16.0,Returns a new Row object with its position set to the given zero-based row index.,"From a rowIndex given as input, return a new Row object based on that position.",A new Row object is returned with its position set to the zero-based row index.,0.268187710901695,Returns a new Row object whose position is set to the given zero baseline index.
577,liquibase,"public String escapeObjectName(String objectName, Class<? extends DatabaseObject> objectType){
    if ((quotingStrategy == ObjectQuotingStrategy.LEGACY) && hasMixedCase(objectName)) {
        return ""\"""" + objectName + ""\"""";
    } else if (objectType != null && LiquibaseColumn.class.isAssignableFrom(objectType)) {
        return (objectName != null && !objectName.isEmpty()) ? objectName.trim() : objectName;
    }
    return super.escapeObjectName(objectName, objectType);
}",escapeObjectName,liquibase/database/core/PostgresDatabase.java,/liquibase-core/src/main/java/liquibase/database/core/PostgresDatabase.java,"/**
     * This has special case logic to handle NOT quoting column names if they are
     * of type 'LiquibaseColumn' - columns in the DATABASECHANGELOG or DATABASECHANGELOGLOCK
     * tables.
     */",276-290,"('escapeObjectName', {'INSTRUCTION': {'covered': 39, 'missed': 1}, 'BRANCH': {'covered': 9, 'missed': 3}, 'LINE': {'covered': 5, 'missed': 0}, 'COMPLEXITY': {'covered': 4, 'missed': 3}, 'METHOD': {'covered': 1, 'missed': 0}})",91.0,27.0,This has special case logic to handle NOT quoting column names if they are  of type 'LiquibaseColumn' - columns in the DATABASECHANGELOG or DATABASECHANGELOGLOCK  tables.,"Skips quoting the columns name of type ""LiquibaseColumn""",This has special case logic to not quote column names if they are in the DATABASECHANGELOG or DATABASECHANGELOGLOCK tables.,1.00962141269968,This has a special case logic to handle DO NOT quote column names if they are of type 'LiquibaseColumn' - columns in the DATABASECHANGELOG or DATABASECHANGELOGLOCK tables.
578,matsim-libs,"public void clusterInput(double radius, int minimumPoints){
    if (this.inputPoints.size() == 0) {
        log.warn(""DJCluster.clusterInput() called, but no points to cluster."");
    } else {
        if (!silent) {
            log.info(""Clustering input points. This may take a while."");
        }
        int clusterIndex = 0;
        int pointMultiplier = 1;
        int uPointCounter = 0;
        int cPointCounter = 0;
        /*
			 * Determine the extent of the QuadTree. 
			 */
        double xMin = Double.POSITIVE_INFINITY;
        double yMin = Double.POSITIVE_INFINITY;
        double xMax = Double.NEGATIVE_INFINITY;
        double yMax = Double.NEGATIVE_INFINITY;
        for (Node node : this.inputPoints) {
            Coord c = node.getCoord();
            /* TODO Remove if no NullPointerExceptions are thrown. */
            if (c == null) {
                log.warn(""Coord is null. Number of points in list: "" + inputPoints.size());
            } else {
                xMin = Math.min(xMin, c.getX());
                yMin = Math.min(yMin, c.getY());
                xMax = Math.max(xMax, c.getX());
                yMax = Math.max(yMax, c.getY());
            }
        }
        /*
			 * Build a new QuadTree, and place each point in the QuadTree as a ClusterActivity.
			 * The geographic coordinates of each point is used as the keys in the QuadTree.
			 * Initially all ClusterPoints will have a NULL reference to its DigicoreCluster. An 
			 * ArrayList of Points is also kept as iterator for unclustered points.
			 */
        if (!silent) {
            log.info(""Place points in QuadTree."");
        }
        quadTree = new QuadTree<ClusterActivity>(xMin - 1, yMin - 1, xMax + 1, yMax + 1);
        List<ClusterActivity> listOfPoints = new ArrayList<ClusterActivity>();
        for (int i = 0; i < this.inputPoints.size(); i++) {
            double x = inputPoints.get(i).getCoord().getX();
            double y = inputPoints.get(i).getCoord().getY();
            ClusterActivity cp = new ClusterActivity(Id.create(i, Coord.class), inputPoints.get(i), null);
            quadTree.put(x, y, cp);
            listOfPoints.add(cp);
        }
        if (!silent) {
            log.info(""Done placing activities."");
        }
        int pointCounter = 0;
        while (pointCounter < listOfPoints.size()) {
            // Get next point.
            ClusterActivity p = listOfPoints.get(pointCounter);
            if (p.getCluster() == null) {
                // Compute the density-based neighbourhood, N(p), of the point p
                Collection<ClusterActivity> neighbourhood = quadTree.getDisk(p.getCoord().getX(), p.getCoord().getY(), radius);
                List<ClusterActivity> uN = new ArrayList<ClusterActivity>(neighbourhood.size());
                List<ClusterActivity> cN = new ArrayList<ClusterActivity>(neighbourhood.size());
                for (ClusterActivity cp : neighbourhood) {
                    if (cp.getCluster() == null) {
                        uN.add(cp);
                    } else {
                        cN.add(cp);
                    }
                }
                if (neighbourhood.size() < minimumPoints) {
                    /* Point is considered to be noise.
						 * FIXME Not quite true... it may be incorporated into
						 * another cluster later! (JWJ - Mar '14)
						 */
                    lostPoints.put(p.getId(), p);
                    uPointCounter++;
                } else if (cN.size() > 0) {
                    /* 
						 * Merge all the clusters. Use the DigicoreCluster with the smallest clusterId
						 * value as the remaining DigicoreCluster.
						 */
                    List<Cluster> localClusters = new ArrayList<Cluster>();
                    Cluster smallestCluster = cN.get(0).getCluster();
                    for (int i = 1; i < cN.size(); i++) {
                        if (Integer.parseInt(cN.get(i).getCluster().getId().toString()) < Integer.parseInt(smallestCluster.getId().toString())) {
                            smallestCluster = cN.get(i).getCluster();
                        }
                        if (!localClusters.contains(cN.get(i).getCluster())) {
                            localClusters.add(cN.get(i).getCluster());
                        }
                    }
                    for (Cluster DigicoreCluster : localClusters) {
                        if (!DigicoreCluster.equals(smallestCluster)) {
                            List<ClusterActivity> thisClusterList = DigicoreCluster.getPoints();
                            for (int j = 0; j < thisClusterList.size(); j++) {
                                // Change the DigicoreCluster reference of the ClusterActivity.
                                thisClusterList.get(j).setCluster(smallestCluster);
                                // Add the ClusterActivity to the new DigicoreCluster.
                                smallestCluster.getPoints().add(thisClusterList.get(j));
                                // Remove the ClusterActivity from old DigicoreCluster.
                                /* 
									 * 20091009 - I've commented this out... this seems
									 * both dangerous and unnecessary. 
									 */
                                // DigicoreCluster.getPoints().remove(thisClusterList.get(j));
                            }
                        }
                    }
                    // Add unclustered points in the neighborhood.
                    for (ClusterActivity cp : uN) {
                        smallestCluster.getPoints().add(cp);
                        cp.setCluster(smallestCluster);
                        cPointCounter++;
                        if (lostPoints.containsKey(cp.getId())) {
                            lostPoints.remove(cp.getId());
                            uPointCounter--;
                        }
                    }
                } else {
                    // Create new DigicoreCluster and add all the points.
                    Cluster newCluster = new Cluster(Id.create(clusterIndex, Cluster.class));
                    clusterIndex++;
                    for (ClusterActivity cp : uN) {
                        cp.setCluster(newCluster);
                        newCluster.getPoints().add(cp);
                        cPointCounter++;
                        if (lostPoints.containsKey(cp.getId())) {
                            lostPoints.remove(cp.getId());
                            uPointCounter--;
                        }
                    }
                }
            }
            pointCounter++;
            // Report progress
            if (!silent) {
                if (pointCounter == pointMultiplier) {
                    log.info(""   Points clustered: "" + pointCounter);
                    pointMultiplier = (int) Math.max(pointCounter, pointMultiplier) * 2;
                }
            }
        }
        if (!silent) {
            log.info(""   Points clustered: "" + pointCounter + "" (Done)"");
            int sum = cPointCounter + uPointCounter;
            log.info(""Sum should add up: "" + cPointCounter + "" (clustered) + "" + uPointCounter + "" (unclustered) = "" + sum);
            /* Code added for Joubert & Meintjes paper (2014). */
            log.info(""Unclustered points: "");
            for (ClusterActivity ca : lostPoints.values()) {
                log.info(String.format(""   %.6f,%.6f"", ca.getCoord().getX(), ca.getCoord().getY()));
            }
            log.info(""New way of unclustered points:"");
            log.info(""   Number: "" + lostPoints.size());
        }
        /* 
			 * Build the DigicoreCluster list. Once built, I rename the clusterId field so as to
			 * start at '0', and increment accordingly. This allows me to directly use
			 * the clusterId field as 'row' and 'column' reference in the 2D matrices
			 * when determining adjacency in Social Network Analysis.
			 */
        if (!silent) {
            log.info(""Building the DigicoreCluster list (2 steps)"");
        }
        Map<Cluster, List<ClusterActivity>> clusterMap = new HashMap<Cluster, List<ClusterActivity>>();
        if (!silent) {
            log.info(""Step 1 of 2:"");
            log.info(""Number of ClusterPoints to process: "" + listOfPoints.size());
        }
        int cpCounter = 0;
        int cpMultiplier = 1;
        for (ClusterActivity ca : listOfPoints) {
            Cluster theCluster = ca.getCluster();
            if (theCluster != null) {
                // Removed 7/12/2011 (JWJ): Seems unnecessary computation.
                // theCluster.setCenterOfGravity();
                if (!clusterMap.containsKey(theCluster)) {
                    List<ClusterActivity> newList = new ArrayList<ClusterActivity>();
                    clusterMap.put(theCluster, newList);
                }
                clusterMap.get(theCluster).add(ca);
            }
            if (!silent) {
                if (++cpCounter == cpMultiplier) {
                    log.info(""   ClusterPoints processed: "" + cpCounter + "" ("" + String.format(""%3.2f"", ((double) cpCounter / (double) listOfPoints.size()) * 100) + ""%)"");
                    cpMultiplier *= 2;
                }
            }
        }
        if (!silent) {
            log.info(""   ClusterPoints processed: "" + cpCounter + "" (Done)"");
        }
        if (!silent) {
            log.info(""Step 2 of 2:"");
            log.info(""Number of clusters to process: "" + clusterMap.keySet().size());
        }
        int clusterCounter = 0;
        int clusterMultiplier = 1;
        int clusterNumber = 0;
        for (Map.Entry<Cluster, List<ClusterActivity>> e : clusterMap.entrySet()) {
            Cluster digicoreCluster = e.getKey();
            List<ClusterActivity> listOfClusterPoints = e.getValue();
            if (listOfClusterPoints.size() >= minimumPoints) {
                digicoreCluster.setClusterId(Id.create(clusterNumber++, Cluster.class));
                clusterNumber++;
                digicoreCluster.setCenterOfGravity();
                clusterList.add(digicoreCluster);
            } else if (!silent) {
                log.warn("" ... why do we HAVE a cluster with too few points?..."");
            }
            if (!silent) {
                if (++clusterCounter == clusterMultiplier) {
                    log.info(""   Clusters processed: "" + clusterCounter + "" ("" + String.format(""%3.2f"", ((double) clusterCounter / (double) clusterMap.keySet().size()) * 100) + ""%)"");
                    clusterMultiplier *= 2;
                }
            }
        }
        if (!silent) {
            log.info(""   Clusters processed: "" + clusterCounter + "" (Done)"");
            log.info(""DigicoreCluster list built."");
        }
    }
    // lost list must be made up of clusters without Id.
}",clusterInput,org/matsim/core/network/algorithms/intersectionSimplifier/DensityCluster.java,/matsim/src/main/java/org/matsim/core/network/algorithms/intersectionSimplifier/DensityCluster.java,"/**
	 * Building an <code>ArrayList</code> of <code>DigicoreCluster</code>s. The DJ-Clustering
	 * procedure of Zhou <i>et al</i> (2004) is followed. If there are no points to cluster, a
	 * warning message is logged, and the procedure bypassed.
	 */",97-341,"('clusterInput', {'INSTRUCTION': {'covered': 626, 'missed': 62}, 'BRANCH': {'covered': 72, 'missed': 12}, 'LINE': {'covered': 133, 'missed': 13}, 'COMPLEXITY': {'covered': 33, 'missed': 10}, 'METHOD': {'covered': 1, 'missed': 0}})",1543.0,19.0,Building an <code>ArrayList</code> of <code>DigicoreCluster</code>s.,Constructs an ArrayList of DigicoreCluster if present; otherwise log a warning message.,A code ofDigicoreCluster is built with code>ArrayList/code>.,0.822797363507703,Creation of an <code>ArrayList</code> of <code>DigicoreCluster</code>s.
579,dcache,"public void buildTransition(StatePath ourPath, StatePath newComponentPath, StateComponent newComponent, StateTransition transition) throws MetricStatePathException{
    String childName = newComponentPath.getFirstElement();
    StateChangeSet changeSet = transition.getOrCreateChangeSet(ourPath);
    if (this.isMortal() && newComponent.isMortal()) {
        Date newComponentExpiryDate = newComponent.getExpiryDate();
        changeSet.recordNewWhenIShouldExpireDate(newComponentExpiryDate);
    }
    if (newComponent.isImmortal()) {
        changeSet.recordChildIsImmortal();
    }
    changeSet.ensureChildNotRemoved(childName);
    if (newComponentPath.isSimplePath()) {
        if (_children.containsKey(childName)) {
            changeSet.recordUpdatedChild(childName, newComponent);
        } else {
            changeSet.recordNewChild(childName, newComponent);
        }
        if (newComponent instanceof StateComposite) {
            StateComposite newComposite = (StateComposite) newComponent;
            newComposite._metadataRef = getChildMetadata(childName);
        }
        return;
    }
    StateComponent child = _children.get(childName);
    if (child == null) {
        child = changeSet.getNewChildValue(childName);
        if (child == null) {
            child = new StateComposite(getChildMetadata(childName), DEFAULT_LIFETIME);
            changeSet.recordNewChild(childName, child);
        }
    }
    changeSet.recordChildItr(childName);
    child.buildTransition(buildChildPath(ourPath, childName), newComponentPath.childPath(), newComponent, transition);
}",buildTransition,org/dcache/services/info/base/StateComposite.java,/modules/dcache-info/src/main/java/org/dcache/services/info/base/StateComposite.java,"/**
     * Update a StateTransition object so a new StateComponent will be added to dCache's state.  The
     * changes are recorded in StateTransition so they can be applied later.
     *
     * @param ourPath          the StatePath to this StateComposite.
     * @param newComponentPath the StatePath to this StateComponent, relative to this
     *                         StateComposition
     * @param newComponent     the StateComponent to add.
     * @param transition       the StateTransition in which we will record these changes
     */",485-557,"('buildTransition', {'INSTRUCTION': {'covered': 96, 'missed': 0}, 'BRANCH': {'covered': 16, 'missed': 0}, 'LINE': {'covered': 25, 'missed': 0}, 'COMPLEXITY': {'covered': 9, 'missed': 0}, 'METHOD': {'covered': 1, 'missed': 0}})",249.0,16.0,Update a StateTransition object so a new StateComponent will be added to dCache's state.,Stores the changes of an update StateTransition operation in the object transition.,A new StateComponent will be added to dCache's state if a StateTransition object is updated.,0.720138607788848,Update a StateTransition object so that a new StateComponent is added to the dCache state.
580,cdk,"private double calculateMassT(List<IIsotope> isoToCond_new, int[] value_In){
    double result = 0;
    for (int i = 0; i < isoToCond_new.size(); i++) {
        if (value_In[i] != 0) {
            result += isoToCond_new.get(i).getExactMass() * value_In[i];
        }
    }
    return result;
}",calculateMassT,org/openscience/cdk/formula/MassToFormulaTool.java,/legacy/src/main/java/org/openscience/cdk/formula/MassToFormulaTool.java,"/**
     * Calculate the mass total given the elements and their respective occurrences.
     *
     * @param elemToCond_new  The IIsotope to calculate
     * @param value_In        Array matrix with occurrences
     * @return                The sum total
     */",521-536,"('calculateMassT', {'INSTRUCTION': {'covered': 30, 'missed': 0}, 'BRANCH': {'covered': 4, 'missed': 0}, 'LINE': {'covered': 5, 'missed': 0}, 'COMPLEXITY': {'covered': 3, 'missed': 0}, 'METHOD': {'covered': 1, 'missed': 0}})",74.0,12.0,Calculate the mass total given the elements and their respective occurrences.,Computes the total mass from the elements and their related occurences.,The mass total is calculated by taking the elements and their occurrences.,0.707994339436549,Calculate the total mass according to the elements and their respective occurrences.
581,mybatis-3,"protected void addIfMatching(Test test, String fqn){
    try {
        String externalName = fqn.substring(0, fqn.indexOf('.')).replace('/', '.');
        ClassLoader loader = getClassLoader();
        if (log.isDebugEnabled()) {
            log.debug(""Checking to see if class "" + externalName + "" matches criteria ["" + test + ""]"");
        }
        Class<?> type = loader.loadClass(externalName);
        if (test.matches(type)) {
            matches.add((Class<T>) type);
        }
    } catch (Throwable t) {
        log.warn(""Could not examine class '"" + fqn + ""'"" + "" due to a "" + t.getClass().getName() + "" with message: "" + t.getMessage());
    }
}",addIfMatching,org/apache/ibatis/io/ResolverUtil.java,/src/main/java/org/apache/ibatis/io/ResolverUtil.java,"/**
   * Add the class designated by the fully qualified class name provided to the set of
   * resolved classes if and only if it is approved by the Test supplied.
   *
   * @param test the test used to determine if the class matches
   * @param fqn the fully qualified name of a class
   */",274-298,"('addIfMatching', {'INSTRUCTION': {'covered': 53, 'missed': 16}, 'BRANCH': {'covered': 3, 'missed': 1}, 'LINE': {'covered': 11, 'missed': 1}, 'COMPLEXITY': {'covered': 2, 'missed': 1}, 'METHOD': {'covered': 1, 'missed': 0}})",146.0,29.0,Add the class designated by the fully qualified class name provided to the set of  resolved classes if and only if it is approved by the Test supplied.,Adds the class to the matches object using its fully qualified name iff has been approved by the Test supplied.,"If the class is approved by the test, add it to the set of resolved classes.",0.353967886663301,Add the class designated by the supplied display class name to the set of resolved classes if and only if it is approved by the supplied test.
